Country,Weather,Food Type,Recommended Foods
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Breakfast,"['Aloo Tama', 'Aloo Ko Achar', 'Tea']"
Afghanistan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
Sri Lanka,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Dinner,"['Devilled Chicken', 'Eggplant Curry', 'Pittu']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Nepal,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Hot,Lunch,"['Kabuli Pulao', 'Mantu', 'Naan']"
Sri Lanka,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Lunch,"['Kottu Roti', 'Fish Curry', 'Rice']"
Nepal,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Dinner,"['Hot Pot', 'Noodles', 'Baozi']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Nepal,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Breakfast,"['Hoentay', 'Porridge', 'Butter Tea']"
Pakistan,Cold,Dinner,"['Nihari', 'Paya', 'Roti']"
Nepal,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Dinner,"['Devilled Chicken', 'Eggplant Curry', 'Pittu']"
India,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Dinner,"['Hot Pot', 'Noodles', 'Baozi']"
Sri Lanka,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Afghanistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
India,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Pakistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Dinner,"['Thukpa', 'Sel Roti', 'Gundruk']"
Pakistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Breakfast,"['Aloo Tama', 'Aloo Ko Achar', 'Tea']"
China,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Pakistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Sri Lanka,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Sri Lanka,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Nepal,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Lunch,"['Biryani', 'Chicken Karahi', 'Naan']"
China,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Lunch,"['Momo', 'Dal Bhat', 'Achar']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Lunch,"['Kung Pao Chicken', 'Fried Rice', 'Dumplings']"
Sri Lanka,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Dinner,"['Devilled Chicken', 'Eggplant Curry', 'Pittu']"
India,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
Sri Lanka,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Sri Lanka,Rainy,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Dinner,"['Nihari', 'Paya', 'Roti']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Pakistan,Cold,Dinner,"['Nihari', 'Paya', 'Roti']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Bangladesh,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Dinner,"['Hot Pot', 'Noodles', 'Baozi']"
China,Hot,Lunch,"['Kung Pao Chicken', 'Fried Rice', 'Dumplings']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Dinner,"['Devilled Chicken', 'Eggplant Curry', 'Pittu']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
Afghanistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
Nepal,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Dinner,"['Shamu Datshi', 'Buckwheat Noodles', 'Yak Meat']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Bhutan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Afghanistan,Hot,Lunch,"['Kabuli Pulao', 'Mantu', 'Naan']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Afghanistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Lunch,"['Momo', 'Dal Bhat', 'Achar']"
Pakistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Bhutan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
India,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Pakistan,Cold,Dinner,"['Nihari', 'Paya', 'Roti']"
Bangladesh,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
China,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Dinner,"['Shamu Datshi', 'Buckwheat Noodles', 'Yak Meat']"
Bhutan,Cold,Dinner,"['Shamu Datshi', 'Buckwheat Noodles', 'Yak Meat']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Pakistan,Cold,Dinner,"['Nihari', 'Paya', 'Roti']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Lunch,"['Biryani', 'Chicken Karahi', 'Naan']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Bangladesh,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Bangladesh,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Lunch,"['Momo', 'Dal Bhat', 'Achar']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Lunch,"['Momo', 'Dal Bhat', 'Achar']"
India,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
